id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
126064,1715,12/15/2013 11:24,San Francisco City Hall,58,12/15/2013 11:53,Grant Avenue at Columbus Avenue,73,629,Customer,94132
127086,714,12/16/2013 13:31,Market at Sansome,77,12/16/2013 13:43,Golden Gate at Polk,59,557,Subscriber,94102
128125,714,12/17/2013 9:00,2nd at Townsend,61,12/17/2013 9:12,Mechanics Plaza (Market at Battery),75,508,Subscriber,94402
129075,419,12/17/2013 20:21,Market at Sansome,77,12/17/2013 20:28,Civic Center BART (7th at Market),72,587,Subscriber,94103
130077,318,12/18/2013 17:03,Clay at Battery,41,12/18/2013 17:09,Embarcadero at Folsom,51,427,Subscriber,95404
130998,416,12/19/2013 12:37,Market at Sansome,77,12/19/2013 12:44,2nd at South Park,64,359,Subscriber,94107
131911,835,12/20/2013 9:08,San Francisco Caltrain (Townsend at 4th),70,12/20/2013 9:22,Embarcadero at Vallejo,48,358,Customer,94403
132825,110,12/21/2013 6:34,Embarcadero at Bryant,54,12/21/2013 6:36,Spear at Folsom,49,623,Subscriber,94105
133910,838,12/23/2013 8:00,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 8:14,Townsend at 7th,65,481,Subscriber,94611
134874,430,12/24/2013 11:10,Howard at 2nd,63,12/24/2013 11:17,Embarcadero at Bryant,54,433,Subscriber,94105
135852,1031,12/26/2013 10:29,Harry Bridges Plaza (Ferry Building),50,12/26/2013 10:46,Yerba Buena Center of the Arts (3rd @ Howard),68,349,Customer,
136841,1612,12/27/2013 20:01,San Francisco Caltrain 2 (330 Townsend),69,12/27/2013 20:28,Harry Bridges Plaza (Ferry Building),50,280,Customer,94611
137869,412,12/29/2013 16:52,Yerba Buena Center of the Arts (3rd @ Howard),68,12/29/2013 16:59,2nd at South Park,64,338,Customer,94117
138840,446,12/31/2013 7:45,Mechanics Plaza (Market at Battery),75,12/31/2013 7:52,Yerba Buena Center of the Arts (3rd @ Howard),68,391,Subscriber,94590
